"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.597927958E0,9.627118707E-4,2.649778733E-3,-2.000381472E-3
1.607892958E0,-5.720676854E-4,5.951032974E-3,2.521878923E-5
1.617858958E0,2.137616277E-3,1.489115413E-3,-3.516934346E-3
1.627824958E0,-1.287339255E-4,6.858847104E-3,-3.831986338E-3
1.637789958E0,2.145973966E-3,4.174638540E-3,-9.119817987E-4
1.647755958E0,7.661897689E-4,1.067248546E-2,-1.513323514E-3
1.657721958E0,1.223441679E-3,5.236390978E-3,-3.094968852E-3
1.667686958E0,-8.453014307E-4,2.525825985E-3,7.431788836E-4
1.677652958E0,3.192736767E-4,-1.323220786E-3,-8.401466766E-4
1.687617958E0,1.782680862E-3,3.042499302E-3,-2.214337699E-3
1.697583958E0,1.608231105E-3,8.290173486E-3,-1.211855910E-3
1.707549958E0,-9.721056558E-4,2.354786033E-3,-4.067823465E-4
1.717514958E0,2.093453426E-3,-2.996554598E-3,9.130964754E-4
1.727480958E0,4.025842994E-3,-3.726260737E-3,8.433216717E-4
1.737446958E0,1.339154784E-3,-1.312813256E-4,-5.757930339E-4
1.747411958E0,-1.716822386E-3,4.042424727E-3,6.316842046E-4
1.757377958E0,1.757004298E-3,-6.335410289E-4,-2.162335295E-4
1.767343958E0,3.418005072E-4,2.179289702E-3,-3.673648462E-5
1.777308958E0,-5.050124601E-4,-9.893097449E-4,1.142049092E-3
1.787274958E0,4.404094070E-4,2.913819160E-3,-1.459592953E-3
1.797240958E0,-2.366825938E-4,-4.914218560E-3,-2.913868520E-4
1.807205958E0,1.180507243E-4,4.296057858E-3,3.136833257E-4
1.817171958E0,-1.709605567E-3,-2.889691852E-3,-7.048581028E-4
1.827137958E0,2.140526194E-3,1.012904220E-3,1.346308505E-3
1.837102958E0,2.047040034E-3,-6.485462654E-4,2.334445715E-3
1.847068958E0,3.324970603E-4,2.068676986E-3,1.443352085E-3
1.857034958E0,-3.975021653E-3,-4.553510342E-3,3.846398089E-3
1.866999958E0,-1.922673546E-4,-3.020062577E-3,2.619213425E-3
1.876965958E0,2.226291224E-3,-5.729494151E-4,4.465277772E-3
1.886931958E0,2.521635732E-3,-7.936589420E-3,3.172046738E-3
1.896896125E0,1.475185156E-3,-4.415841307E-3,2.828226890E-3
1.906862125E0,1.198482700E-3,7.424829528E-5,1.919637143E-4
1.916827125E0,-2.864038106E-3,-5.477997474E-4,-2.016189101E-4
1.926793125E0,3.748983145E-4,7.054838352E-4,6.777568487E-4
1.936759125E0,-6.889761426E-4,-7.499278523E-3,4.205544014E-3
1.946724125E0,6.529907696E-4,-8.059560787E-4,9.378453251E-4
1.956690125E0,5.194623955E-4,-4.774234723E-3,2.284601331E-3
1.966656125E0,-1.395616680E-3,1.652772073E-3,7.327772910E-4
1.976621125E0,2.653725911E-3,-1.736663515E-3,-2.208682563E-4
1.986587125E0,6.859162822E-4,-1.542130485E-4,4.425548483E-3
1.996553125E0,-1.663062721E-5,-2.745802514E-3,9.745969437E-4
2.006518125E0,-5.149082281E-4,3.084123135E-3,2.235603519E-3
2.016484125E0,-2.572173253E-4,3.110872582E-3,3.038831754E-3
2.026450125E0,-1.126076095E-4,1.509513706E-3,1.875030342E-3
2.036415125E0,1.917779446E-4,2.380914520E-4,1.002271601E-4
2.046381125E0,-1.077484339E-3,2.173187677E-4,1.249647466E-3
2.056347125E0,-2.344320528E-4,3.139812965E-3,2.335009398E-3
2.066312125E0,2.757895971E-3,5.341763608E-4,8.359160274E-4
2.076278125E0,-1.765152439E-3,2.332390286E-4,-1.201668521E-3
2.086244125E0,-7.190629840E-4,6.355579942E-3,-1.103050890E-4
2.096209125E0,7.177237421E-6,9.479180910E-3,-1.138473861E-3
2.106175125E0,-5.171988159E-4,1.871062792E-3,2.302596578E-3
2.116141125E0,-2.614097670E-3,6.658980623E-3,-8.482343983E-4
2.126106125E0,1.348686405E-3,1.448239549E-3,-3.803170111E-4
2.136072125E0,-1.131035388E-4,1.799028250E-3,-3.800092731E-3
2.146038125E0,-3.826851025E-5,3.379880683E-3,-2.766786143E-3
2.156003125E0,6.402404979E-4,2.923564520E-3,9.901938029E-5
2.165969125E0,-9.454060346E-4,3.913461231E-3,-1.679173321E-3
2.175935125E0,1.822008751E-3,4.494838417E-3,2.148472471E-3
2.185900125E0,-1.239827368E-3,8.062409237E-3,-3.290501423E-3
2.195866125E0,3.639962524E-4,4.040848464E-3,-1.879227930E-3
2.205831125E0,4.405343439E-3,4.858438857E-3,-4.078314232E-4
2.215797125E0,-2.687596716E-4,2.682360820E-3,4.133377515E-4
2.225763125E0,3.072974738E-3,2.748140832E-3,6.899100845E-5
2.235728125E0,-2.496701665E-3,3.730116412E-3,-1.608873601E-3
2.245694125E0,-3.198343329E-4,5.452116020E-3,-4.784693476E-3
2.255660125E0,3.220401704E-4,1.704119029E-3,7.438153261E-4
2.265625125E0,8.261767216E-4,1.628751517E-3,5.760362837E-4
2.275591125E0,1.564020757E-3,8.733246941E-4,2.069021109E-3
2.285557125E0,1.999713946E-3,-1.494225580E-3,1.418144675E-3
2.295522125E0,6.382167339E-5,1.395667554E-3,-5.426420830E-4
2.305488125E0,1.147727948E-3,-1.321555814E-3,-4.984335974E-4
2.315454125E0,-3.023631871E-4,5.564313382E-3,1.367643359E-3
2.325419125E0,-8.847964928E-4,-1.743666595E-3,-4.398440651E-4
2.335385125E0,-2.004855778E-3,2.946783090E-3,-3.838159319E-4
2.345351125E0,7.560430095E-4,-2.551355865E-4,-1.531105721E-3
2.355316125E0,5.346117541E-5,1.823558356E-3,-1.256549731E-4
2.365282125E0,-4.405551590E-4,-2.103805309E-3,5.278848112E-4
2.375247125E0,-5.445168354E-4,7.767674979E-4,2.792801475E-3
2.385213125E0,3.418838605E-5,-3.606686369E-4,1.221802784E-3
2.395179125E0,-2.424390055E-3,1.256766263E-4,-4.777505237E-4
2.405145125E0,-1.503168605E-4,-1.491927542E-3,3.677219502E-5
2.415110125E0,-2.359724604E-4,-2.863713074E-3,3.382289549E-3
2.425076125E0,-6.766058505E-5,-2.573428676E-3,-1.609006780E-3
2.435041125E0,1.077639870E-3,-4.228455946E-3,1.601502416E-3
2.445007125E0,9.705806151E-4,-4.437248223E-3,-4.650093615E-6
2.454973125E0,1.141797286E-3,-9.926927742E-4,-2.608389477E-4
2.464938125E0,3.060973249E-4,-4.982907325E-3,1.852665446E-5
2.474904125E0,1.293151639E-3,6.765958387E-4,4.277912900E-3
2.484870125E0,-6.805169396E-4,-4.346924834E-3,1.788389869E-3
2.494835125E0,-8.187955245E-5,-2.153714420E-3,2.106734551E-3
2.504801125E0,-3.301375080E-3,-4.979860969E-3,1.140273409E-3
2.514767125E0,3.037783317E-4,3.334973240E-3,3.038223076E-4
2.524732125E0,1.864657272E-3,-3.366871504E-3,2.020495944E-3
2.534698125E0,1.383724622E-3,1.915153349E-3,7.006890373E-4
2.544664125E0,2.684397623E-5,-5.938105751E-4,1.612821827E-3
2.554629125E0,5.388958380E-5,3.187679453E-3,2.471774642E-4
2.564595125E0,1.877355855E-3,-1.478444785E-3,2.790496219E-3
2.574561125E0,1.735175028E-4,2.874620259E-5,-2.645750646E-5
2.584526125E0,-5.119801499E-4,-5.274661817E-5,1.516045420E-3
2.594492125E0,1.224022824E-3,-1.305195037E-4,4.341158492E-4
2.604458125E0,-1.619168092E-3,2.936110599E-3,-8.476636140E-4
2.614423125E0,-4.713889211E-4,1.352022518E-3,8.299163310E-4
2.624389125E0,-1.359287184E-3,1.875599963E-3,2.725288272E-3
2.634354125E0,-6.664609537E-4,2.902968787E-3,3.667263372E-4
2.644320125E0,-1.766080037E-3,5.324314814E-3,2.124412684E-3
2.654286125E0,-1.795261633E-3,2.065236215E-3,1.721567707E-3
2.664251125E0,1.294271089E-3,5.433069542E-3,1.194794429E-3
2.674217125E0,8.164620958E-4,1.991507132E-3,-1.633903710E-3
2.684183125E0,-1.958285458E-3,5.797697231E-3,-1.651746919E-3
2.694148125E0,-1.443963964E-3,5.362363532E-3,4.963483661E-6
2.704114125E0,-1.147287898E-3,4.330122843E-3,1.014301553E-3
2.714080125E0,8.571217768E-4,2.303805668E-3,-1.444985159E-3
2.724045125E0,-2.722433303E-3,5.330754444E-3,8.260406321E-5
2.734011125E0,-1.704348717E-3,7.245780434E-3,-6.037616404E-4
2.743977125E0,4.135305062E-5,4.291003104E-3,7.167487638E-6
2.753942125E0,8.725645021E-4,5.078700371E-3,-1.708968892E-3
2.763908125E0,7.388228551E-5,5.200939253E-3,-6.532918778E-4
2.773874125E0,1.068350859E-3,2.473414177E-3,-1.395866740E-3
2.783839125E0,8.297315799E-4,7.855396718E-3,4.250655184E-5
2.793805125E0,9.224903770E-4,2.552376362E-3,5.093731452E-4
