"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.958829890E2,6.036968165E1,5.343041093E0,2.180074994E1,9.810687250E0,2.012577667E2,4.654210551E0,4.654210551E0
2.968829827E2,6.036959336E1,5.342988066E0,2.202060536E1,9.891730960E0,1.958557739E2,4.650721366E0,4.650721366E0
2.978829767E2,6.036950194E1,5.342949648E0,2.184157899E1,1.002141320E1,1.910463257E2,4.654102787E0,4.654102787E0
2.988829714E2,6.036941283E1,5.342927771E0,2.182548998E1,9.943934998E0,1.868675537E2,4.658479273E0,4.658479273E0
2.998829664E2,6.036931826E1,5.342916714E0,2.176547828E1,1.013173932E1,1.824579315E2,4.664971450E0,4.664971450E0
3.008829608E2,6.036922655E1,5.342929120E0,2.157071028E1,1.005104149E1,1.788523254E2,4.665913213E0,4.665913213E0
3.018829552E2,6.036913529E1,5.342966935E0,2.157988472E1,9.770465788E0,1.676665955E2,4.665526016E0,4.665526016E0
3.028829503E2,6.036904213E1,5.343013145E0,2.144088787E1,1.019469962E1,1.653771667E2,4.668814450E0,4.668814450E0
3.038829448E2,6.036894481E1,5.343071142E0,2.121707416E1,1.082198321E1,1.630887299E2,4.670986278E0,4.670986278E0
3.048829390E2,6.036884395E1,5.343146475E0,2.117657837E1,1.146969259E1,1.597717133E2,4.668588453E0,4.668588453E0
3.058846523E2,6.036873704E1,5.343226719E0,2.101021533E1,1.234354765E1,1.595245361E2,4.666256809E0,4.666256809E0
3.068843356E2,6.036862719E1,5.343309552E0,2.106400637E1,1.300551228E1,1.595213928E2,4.666435674E0,4.666435674E0
3.078843132E2,6.036851088E1,5.343397262E0,2.119068528E1,1.374308872E1,1.595213928E2,4.666086678E0,4.666086678E0
3.088846239E2,6.036838902E1,5.343489149E0,2.088420722E1,1.430988048E1,1.595213928E2,4.664827525E0,4.664827525E0
3.098842845E2,6.036826746E1,5.343580818E0,2.071737287E1,1.441740684E1,1.595213928E2,4.662478955E0,4.662478955E0
3.108842440E2,6.036814477E1,5.343673232E0,2.060416344E1,1.461280873E1,1.597439423E2,4.662179194E0,4.662179194E0
3.118845371E2,6.036802300E1,5.343767334E0,2.076425062E1,1.456711513E1,1.587384491E2,4.662186163E0,4.662186163E0
3.128841839E2,6.036789989E1,5.343864061E0,2.049711129E1,1.467932808E1,1.587384491E2,4.664146869E0,4.664146869E0
3.138841358E2,6.036777648E1,5.343961022E0,2.049464497E1,1.477566755E1,1.587384491E2,4.660155381E0,4.660155381E0
3.148844244E2,6.036765291E1,5.344058108E0,2.054051847E1,1.465369904E1,1.587384491E2,4.653102579E0,4.653102579E0
3.158843910E2,6.036752656E1,5.344156591E0,2.054674398E1,1.479373681E1,1.590507660E2,4.652474085E0,4.652474085E0
3.168843391E2,6.036740051E1,5.344254031E0,2.099873075E1,1.468717816E1,1.590507660E2,4.653295805E0,4.653295805E0
