"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.444069708E0,1.022373962E-1,8.532257080E-3,9.844578094E0
3.454035708E0,1.712438965E-1,2.454895020E-2,9.858349457E0
3.464000708E0,1.692979431E-1,2.903961182E-2,9.861792297E0
3.473966708E0,1.865121460E-1,1.227447510E-2,9.754315796E0
3.483931708E0,4.340972900E-3,1.661544800E-2,9.772428131E0
3.493897708E0,2.406994629E-1,6.735992432E-3,9.772278442E0
3.503863708E0,1.261875916E-1,2.484832764E-2,9.927655334E0
3.513828708E0,3.477268982E-1,1.197509766E-3,9.934391327E0
3.523794708E0,1.595681763E-1,3.203338623E-2,9.890981598E0
3.533760708E0,1.309776306E-1,-2.380050659E-2,9.798174591E0
3.543725708E0,1.152603149E-2,2.784210205E-2,9.811047821E0
3.553691708E0,1.591191101E-1,-1.796264648E-3,9.808203735E0
3.563657708E0,1.570234680E-1,3.188369751E-2,9.943073273E0
3.573622708E0,1.606159973E-1,2.993774414E-4,9.911788330E0
3.583588708E0,2.743794250E-1,1.182540894E-2,9.911339264E0
3.593554708E0,4.655319214E-2,-2.200424194E-2,9.811047821E0
3.603519708E0,1.836680603E-1,1.332229614E-2,9.806706848E0
3.613485708E0,6.855743408E-2,-1.242416382E-2,9.829908600E0
3.623451708E0,2.212399292E-1,1.676513672E-2,9.948462067E0
3.633416708E0,2.216889954E-1,1.496887207E-4,9.908944244E0
3.643382708E0,1.832189941E-1,5.538482666E-3,9.877359924E0
3.653347708E0,7.454498291E-2,-1.736389160E-2,9.804162140E0
3.663313708E0,9.894424438E-2,2.365081787E-2,9.846074982E0
3.673279708E0,1.953437805E-1,-8.232879639E-3,9.950408020E0
3.683244708E0,2.142045593E-1,1.751358032E-2,9.997709656E0
3.693210708E0,2.585124207E-1,-1.901046753E-2,9.906698914E0
3.703176708E0,6.122268677E-2,1.616638184E-2,9.812395020E0
3.713141708E0,9.969268799E-2,-5.987548828E-3,9.807006226E0
